crop_type,temperature,humidity,rainfall,soil_moisture,soil_ph,nitrogen,phosphorus,potassium,sunlight_hours,pest_activity,leaf_discoloration,growth_rate,previous_disease_history,disease_risk
Sugarcane,32.64,58.3,138.67,69.39,6.09,76.96,62.44,71.65,10.11,0,0,0.793,1,Low Risk
Cotton,31.6,68.48,110.3,72.39,5.94,54.38,40.87,22.41,6.91,1,0,0.494,1,Medium Risk
Sunflower,31.58,69.23,87.19,66.0,7.03,59.05,52.4,30.74,8.93,1,0,0.624,0,Medium Risk
Cotton,16.9,32.36,191.23,59.17,6.82,87.0,48.85,83.65,6.76,1,1,0.778,0,Low Risk
Cotton,16.0,53.95,100.61,47.51,7.22,44.17,51.24,58.83,8.14,0,0,0.958,1,Low Risk
Cotton,23.49,64.89,129.72,48.29,7.35,65.25,60.54,70.67,7.96,0,1,0.803,0,Low Risk
Maize,33.76,63.35,124.26,50.94,6.15,60.0,51.31,38.46,8.97,0,0,0.829,0,Low Risk
Potato,25.31,69.56,81.67,40.63,7.02,46.92,42.87,13.43,7.75,0,0,0.578,0,Medium Risk
Barley,24.33,55.48,141.08,74.16,7.11,77.96,32.79,36.08,7.68,0,1,0.745,1,Medium Risk
Wheat,23.37,69.42,168.27,72.34,6.51,89.24,52.72,48.95,9.58,0,0,0.968,0,Low Risk
Sugarcane,22.31,53.12,83.67,50.86,7.56,43.29,60.57,34.82,6.81,1,1,0.502,0,Medium Risk
Maize,19.65,42.21,145.66,52.01,5.93,51.23,44.38,43.83,6.36,0,0,0.85,0,Low Risk
Maize,21.4,55.58,120.98,65.38,6.46,62.67,63.05,34.11,8.81,0,0,0.765,0,Low Risk
Cotton,32.21,46.48,139.11,72.33,6.8,72.02,46.92,76.5,6.39,0,0,0.868,0,Low Risk
Rice,33.64,82.39,126.18,32.97,6.86,27.79,31.66,43.91,5.63,0,1,0.745,0,Medium Risk
Sunflower,28.24,92.06,59.16,36.05,6.17,25.67,35.69,20.81,5.5,1,1,0.529,1,High Risk
Rice,20.39,68.0,165.8,44.8,6.21,76.8,46.35,62.03,7.97,0,0,0.907,0,Low Risk
Barley,40.2,80.39,129.55,42.16,6.18,39.29,32.7,46.78,4.18,1,1,0.422,0,High Risk
Potato,30.61,58.02,56.14,45.6,5.57,60.08,0.0,28.65,9.12,1,0,0.628,0,Medium Risk
Wheat,23.55,52.9,111.99,62.7,8.08,62.43,44.8,67.84,7.16,0,0,0.887,1,Low Risk
Tomato,23.6,45.54,196.99,41.21,6.27,69.38,50.19,62.53,8.92,0,0,0.816,0,Low Risk
Wheat,28.31,53.62,112.45,66.2,6.0,67.48,41.41,17.54,10.7,0,0,0.559,0,Medium Risk
Cotton,27.5,54.9,131.65,61.08,6.72,62.96,40.82,66.67,8.17,0,0,0.755,0,Low Risk
Cotton,27.22,76.9,185.3,70.27,7.88,75.66,47.75,74.46,10.18,0,1,0.772,0,Low Risk
Wheat,30.44,100.0,83.93,28.03,6.14,0.0,12.27,31.91,5.92,1,0,0.247,1,High Risk
Sunflower,22.01,48.3,109.93,55.22,6.76,70.96,44.74,80.94,4.98,0,0,0.851,0,Low Risk
Sugarcane,34.0,90.92,0.0,32.17,7.32,26.97,4.58,20.1,6.08,1,1,0.339,1,High Risk
Sunflower,24.02,52.57,141.02,70.21,5.23,62.28,39.35,79.04,7.28,1,0,0.656,1,Low Risk
Wheat,39.75,81.37,45.74,44.27,5.91,16.61,40.52,13.04,5.82,0,1,0.509,1,High Risk
Potato,22.55,62.42,146.32,49.18,6.22,71.27,60.92,57.43,6.19,0,0,0.826,0,Low Risk
Cotton,33.47,68.97,122.14,53.31,5.47,47.65,40.98,51.42,5.61,0,0,0.523,1,Medium Risk
Soybean,24.8,56.01,151.65,70.37,6.73,92.17,38.08,61.9,8.13,0,1,0.713,0,Low Risk
Barley,40.96,78.79,46.59,39.55,7.38,38.75,12.26,20.15,3.44,0,0,0.551,1,High Risk
Wheat,25.07,78.07,70.52,43.88,6.63,39.86,23.52,31.18,5.52,1,0,0.378,0,High Risk
Barley,22.73,85.3,173.46,43.96,6.82,43.31,46.01,29.86,5.23,1,0,0.652,1,Medium Risk
Tomato,28.98,75.42,149.89,46.27,7.15,65.63,47.48,37.69,4.85,0,1,0.864,0,Medium Risk
Sugarcane,41.78,89.57,89.81,21.04,6.13,61.75,15.5,31.08,5.35,1,1,0.275,1,High Risk
Sugarcane,43.12,74.56,130.32,64.76,5.86,4.27,11.92,14.91,4.44,1,1,0.425,1,High Risk
Barley,41.27,71.45,16.05,47.52,7.04,11.81,22.37,25.56,5.51,0,1,0.393,1,High Risk
Barley,24.92,58.85,92.75,39.29,5.92,43.29,49.66,74.01,8.66,0,1,0.627,1,Medium Risk
Sugarcane,38.36,76.04,100.93,30.4,6.77,27.12,33.94,62.78,5.62,1,1,0.231,1,High Risk
Soybean,47.93,72.83,123.67,55.44,5.48,16.33,37.38,10.92,3.89,1,1,0.4,0,High Risk
Tomato,18.19,62.84,143.69,46.45,7.22,42.85,27.05,65.07,8.86,0,0,0.917,0,Low Risk
Cotton,23.86,57.34,212.02,50.02,7.19,66.79,49.41,69.45,6.32,0,0,0.858,0,Low Risk
Rice,31.16,62.84,119.66,70.99,7.44,69.68,45.87,46.1,9.06,0,1,0.777,0,Low Risk
Maize,38.55,82.71,110.7,27.73,5.87,31.6,16.26,28.64,7.22,1,1,0.106,1,High Risk
Wheat,40.03,75.31,56.56,40.96,6.53,16.7,34.02,32.75,3.4,1,1,0.427,1,High Risk
Maize,30.89,95.68,19.37,43.21,5.84,46.68,15.18,36.06,4.95,0,0,0.331,1,High Risk
Rice,27.12,77.08,47.52,62.97,7.02,65.68,32.88,39.12,5.82,1,1,0.708,0,Medium Risk
Potato,27.83,79.62,72.95,59.36,7.17,27.59,42.75,67.74,7.44,0,1,0.664,0,Medium Risk
Wheat,42.92,82.33,134.22,54.08,7.28,8.41,24.87,46.4,7.34,1,1,0.435,1,High Risk
Sugarcane,38.24,94.17,81.17,35.76,6.1,35.74,19.82,63.13,3.38,1,0,0.407,1,High Risk
Sunflower,24.48,76.21,175.4,58.25,6.54,34.5,45.73,18.17,7.77,0,0,0.56,0,Medium Risk
Wheat,36.98,74.58,107.79,49.18,7.14,46.32,42.88,52.08,3.29,0,0,0.501,0,Medium Risk
Sunflower,29.13,55.47,77.35,43.0,7.01,61.45,55.24,61.6,7.75,0,1,0.81,0,Low Risk
Wheat,28.29,63.32,111.82,52.32,6.97,58.31,52.81,59.2,9.15,0,1,0.777,1,Medium Risk
Maize,24.54,28.83,203.36,52.86,6.73,66.61,34.54,45.01,6.6,1,0,0.929,0,Low Risk
Potato,27.4,72.73,235.06,64.33,7.09,99.72,41.95,68.82,9.15,0,0,0.965,0,Low Risk
Barley,40.01,45.93,140.03,30.31,7.73,57.32,26.58,55.92,6.17,0,0,0.68,1,Medium Risk
Sunflower,31.18,55.96,163.19,22.74,6.47,63.74,8.0,16.8,4.78,0,1,0.787,1,Medium Risk
Sunflower,29.22,72.54,102.6,65.77,6.77,37.05,28.83,31.47,5.95,1,0,0.652,1,Medium Risk
Wheat,31.17,67.77,113.35,25.54,6.3,21.75,64.03,27.69,7.41,1,1,0.466,0,High Risk
Barley,31.0,81.14,53.0,36.05,7.19,35.94,2.39,42.37,5.52,1,1,0.508,1,High Risk
Sugarcane,34.56,85.67,25.63,22.85,5.77,19.65,37.48,46.09,2.61,1,0,0.366,1,High Risk
Barley,21.48,63.77,172.07,52.9,5.25,51.69,41.97,76.27,10.33,0,0,0.776,0,Low Risk
Sugarcane,27.69,67.85,82.06,54.68,6.02,59.51,34.49,14.96,6.6,1,1,0.701,0,Medium Risk
Soybean,37.79,70.2,1.89,32.78,4.72,0.0,35.26,58.16,5.68,0,1,0.423,1,High Risk
Soybean,36.72,62.06,91.21,31.83,6.03,45.99,34.73,68.56,7.88,1,0,0.744,0,Medium Risk
Wheat,30.78,88.89,110.86,47.49,6.24,52.85,28.41,13.93,3.11,1,0,0.39,1,High Risk
Maize,33.37,83.34,110.61,52.93,5.64,27.36,20.13,64.2,5.28,0,1,0.358,1,High Risk
Sunflower,31.89,66.81,120.21,74.06,7.13,41.87,34.34,61.91,6.41,0,0,0.82,1,Medium Risk
Sunflower,20.45,59.24,237.59,47.4,5.59,47.31,30.36,76.88,10.24,0,0,0.838,0,Low Risk
Maize,21.56,45.83,205.31,76.6,4.96,71.39,46.98,69.09,10.91,0,0,0.772,0,Low Risk
Potato,26.23,53.66,166.14,54.51,7.42,61.52,64.37,39.34,7.43,0,0,0.787,0,Low Risk
Sunflower,23.17,61.09,112.08,70.7,6.03,76.89,32.16,60.35,8.28,0,0,0.752,0,Low Risk
Sugarcane,29.25,89.57,92.58,65.14,6.54,9.83,45.69,62.73,6.93,0,0,0.773,1,Medium Risk
Rice,22.37,70.09,203.5,58.12,7.01,36.42,63.12,44.79,5.82,0,0,0.641,0,Low Risk
Maize,24.22,55.67,117.53,59.95,7.77,32.26,39.68,30.58,5.65,1,1,0.552,0,Medium Risk
Sugarcane,23.48,69.4,131.1,43.52,6.89,46.39,52.22,65.07,7.04,0,1,0.736,1,Medium Risk
Soybean,35.04,99.01,76.17,34.48,6.55,0.0,2.16,28.97,6.31,1,1,0.309,1,High Risk
Rice,32.45,54.32,108.96,61.5,7.49,52.6,36.81,64.15,6.85,0,1,0.764,1,Medium Risk
Barley,28.99,73.32,123.2,50.49,7.66,40.6,45.21,53.15,9.73,1,0,0.444,1,Medium Risk
Potato,32.19,68.42,75.04,50.14,6.82,22.84,9.42,48.09,4.48,1,0,0.249,1,High Risk
Rice,28.19,44.04,175.28,51.92,6.47,47.13,59.42,57.9,8.84,0,0,0.802,0,Low Risk
Barley,29.16,80.79,98.25,48.44,5.88,50.33,7.29,33.9,7.58,1,1,0.517,0,Medium Risk
Barley,22.6,50.24,136.6,54.96,6.24,74.44,53.3,41.62,10.69,0,0,0.766,0,Low Risk
Potato,28.38,70.54,91.61,69.02,7.43,64.36,46.45,33.22,9.17,0,0,0.567,0,Low Risk
Tomato,17.51,41.6,98.16,58.22,5.52,90.68,55.23,68.39,5.62,0,0,0.949,0,Low Risk
Sugarcane,41.64,80.95,21.9,22.75,6.18,0.0,19.57,1.7,5.36,1,1,0.44,1,High Risk
Rice,37.6,85.57,98.55,40.01,7.49,61.65,32.5,34.39,5.52,1,1,0.289,1,High Risk
Soybean,39.19,91.6,103.97,51.95,6.22,51.88,26.48,42.23,3.54,1,0,0.486,1,High Risk
Tomato,29.23,57.9,129.18,65.17,6.73,61.38,52.38,57.27,9.12,0,0,0.869,0,Low Risk
Rice,27.49,48.7,143.8,67.01,6.31,79.5,31.51,58.14,8.12,0,0,0.822,0,Low Risk
Sugarcane,18.69,59.31,122.99,51.2,7.04,93.17,44.28,71.28,8.32,0,1,0.856,0,Low Risk
Cotton,23.07,60.48,159.11,43.51,6.9,57.09,33.0,36.64,7.68,0,0,0.718,0,Low Risk
Barley,34.38,93.96,99.86,43.46,7.85,21.46,19.33,38.95,5.43,1,0,0.349,1,High Risk
Maize,27.22,50.73,88.82,48.78,6.06,73.29,41.32,43.72,7.82,1,1,0.852,1,Medium Risk
Cotton,31.31,69.95,60.0,54.3,5.23,55.5,16.46,21.75,4.29,1,1,0.366,1,High Risk
Sunflower,24.58,37.6,131.3,56.7,6.65,55.06,39.45,76.2,7.98,0,1,0.906,0,Low Risk
Soybean,32.62,66.72,145.97,74.99,7.68,63.1,70.79,75.05,11.55,0,0,0.778,0,Low Risk
Rice,24.47,69.13,120.2,53.44,7.22,65.55,35.11,67.86,5.61,0,0,0.964,0,Low Risk
Rice,15.25,79.2,92.54,49.42,5.98,75.23,40.13,39.31,9.01,0,1,0.738,1,Medium Risk
Sunflower,20.42,51.02,107.74,34.47,5.59,39.53,44.35,34.26,6.69,0,1,0.627,0,Medium Risk
Rice,37.29,80.37,75.51,45.75,5.74,39.75,20.35,19.66,4.4,1,1,0.61,0,High Risk
Potato,22.1,66.74,180.58,51.25,5.87,61.82,41.91,74.42,8.65,0,0,0.876,0,Low Risk
Potato,28.96,47.97,240.63,61.16,5.32,39.03,68.48,75.48,11.34,1,0,0.821,0,Low Risk
Maize,23.66,51.64,133.54,34.45,5.71,91.92,53.89,56.62,4.97,0,0,0.879,0,Low Risk
